Polymer Index,type_A,type_B1,type_B2,type_C,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,block_sequence_experimental,dpn,Target,NMR,GPC,clogP,Dispersity,MIC_PAO1,MIC_PA,MIC_EC,MIC_AB,MIC_SA,MIC_MSmeg,MIC_PAO1_PA
25,Boc-AEAm,PEAm,,HEAm,0.5,0.3,0.0,0.2,(A50C12.5)(B30C7.5),(A49.5C12.4)(A0.5C7.3B29.1),100,18500,12100.0,20300.0,,1.12,256.0,256.0,256.0,256.0,256.0,,256
26,Boc-AEAm,PEAm,,HEAm,0.5,0.3,0.0,0.2,(A20C5)(B12C3),(A19.6C4.9)(A0.4C3B11.6),40,7500,6600.0,11100.0,,1.09,256.0,256.0,256.0,256.0,256.0,,256
27,Boc-AEAm,PEAm,,HEAm,0.5,0.3,0.0,0.2,(A10C2.5)(B6C1.5),(A9C2.3)(A1C1.7B5.8),20,3900,3900.0,6400.0,,1.13,256.0,256.0,256.0,256.0,256.0,,256
28,Boc-AEAm,PEAm,,HEAm,0.5,0.3,0.0,0.2,(A20)(B12)(C8),(A19.8)(A0.2B11.4)(B0.6C7.4),40,7500,6300.0,12100.0,,1.12,64.0,64.0,64.0,256.0,256.0,,64
29,Boc-AEAm,PEAm,,HEAm,0.5,0.3,0.0,0.2,(A20)(C8)(B12),(A19.8)(A0.2C7.4)(C0.6B11.5),40,7500,6300.0,12200.0,,1.12,256.0,256.0,256.0,256.0,256.0,,256
30,Boc-AEAm,PEAm,,HEAm,0.5,0.3,0.0,0.2,(C8)(A20)(B12),(C6.8)(C1.2A19.8)(A0.2B11.3),40,7500,7400.0,10800.0,,1.15,256.0,256.0,256.0,256.0,256.0,,256
31,Boc-AEAm,PEAm,,HEAm,0.5,0.15,0.0,0.35,ABC,,40,7200,7000.0,11300.0,,1.09,128.0,128.0,256.0,256.0,256.0,,128
32,Boc-AEAm,PEAm,,HEAm,0.5,0.15,0.0,0.35,(A20)(B6C14),(A19.8)(A0.2B5.9C13.9),40,7200,6200.0,11300.0,,1.09,64.0,64.0,256.0,256.0,256.0,,64
33,Boc-AEAm,PEAm,,HEAm,0.5,0.3,0.0,0.2,,,40,12400,9345.998687197003,,,1.09,,64.0,,,,,64
34,Boc-AEAm,PEAm,,PEGA,0.5,0.3,0.0,0.2,,,40,12900,9722.853472971075,,,1.11,,64.0,,,,,64
35,Boc-AEAm,PEAm,,DEGA,0.5,0.3,0.0,0.2,,,40,11000,8290.8052870296,,,1.1,,32.0,,,,,32
36,Boc-AEAm,EHA,,HEAm,0.5,0.3,0.0,0.2,,,40,10700,8064.692415565156,,,1.08,,64.0,,,,,64
37,Boc-AEAm,EHA,,PEGA,0.5,0.3,0.0,0.2,,,40,11000,8290.8052870296,,,1.13,,32.0,,,,,32
38,Boc-AEAm,EHA,,DEGA,0.5,0.3,0.0,0.2,,,40,9000,6783.386143933309,,,1.1,,64.0,,,,,64
39,Boc-AEAm,DMAEA,,HEAm,0.5,0.3,0.0,0.2,,,40,13100,9873.595387280706,,,1.19,,128.0,,,,,128
40,Boc-AEAm,DMAEA,,PEGA,0.5,0.3,0.0,0.2,,,40,13700,10325.821130209593,,,1.2,,128.0,,,,,128
41,Boc-AEAm,DMAEA,,DEGA,0.5,0.3,0.0,0.2,,,40,11400,8592.289115648859,,,1.2,,128.0,,,,,128
42,Boc-AEAm,PEAm,NIPAm,HEAm,1.0,0.0,0.0,0.0,,,40,8809,6900.0,11900.0,-6.2,1.08,128.0,,,,128.0,128.0,128
43,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.0,0.0,0.3,,,40,7620,6900.0,12600.0,-6.4,1.08,128.0,,,,128.0,128.0,128
44,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.1,0.0,0.2,,,40,7860,6900.0,13700.0,-4.0,1.1,128.0,,,,128.0,128.0,128
45,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.07,0.030000000000000027,0.2,,,40,7776,7000.0,12600.0,-4.4,1.11,128.0,,,,128.0,128.0,128
46,Boc-AEAm,PEAm,NIPAm,HEAm,0.7,0.03,0.07,0.2,,,40,7692,6600.0,12200.0,-4.9,1.11,128.0,,,,128.0,128.0,128
