Polymer Index,type_A,type_B1,type_B2,type_C,composition_A,composition_B1,composition_B2,composition_C,block_sequence_theoretical,block_sequence_experimental,dpn,Target,NMR,GPC,clogP,Dispersity,MIC_PAO1,MIC_PA,MIC_EC,MIC_AB,MIC_SA,MIC_MSmeg,MIC_PAO1_PA
144,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.0,0.32999999999999996,0.17,,,40,6649,4200.0,,,,128.0,,,,128.0,64.0,128
145,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.5,0.0,0.0,,,40,7877,5600.0,,,,128.0,,,,128.0,32.0,128
146,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.33,0.16999999999999998,0.0,,,40,7463,3700.0,,,,128.0,,,,128.0,32.0,128
147,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.17,0.32999999999999996,0.0,,,40,7050,3700.0,,,,128.0,,,,128.0,64.0,128
148,AAPTAC,PEAm,NIPAm,HEAm,0.5,0.0,0.5,0.0,,,40,6636,3500.0,,,,128.0,,,,128.0,128.0,128
149,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.0,0.0,0.7,,,40,5943,5300.0,,,,128.0,,,,128.0,128.0,128
150,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.23,0.0,0.47,,,40,6503,5300.0,,,,128.0,,,,128.0,64.0,128
151,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.16,0.06999999999999995,0.47,,,40,6311,4800.0,,,,128.0,,,,128.0,128.0,128
152,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.08,0.15000000000000002,0.47,,,40,6118,4100.0,,,,128.0,,,,128.0,128.0,128
153,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.0,0.22999999999999998,0.47,,,40,5924,3600.0,,,,128.0,,,,128.0,128.0,128
154,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.47,0.0,0.23,,,40,7064,5400.0,,,,128.0,,,,128.0,64.0,128
155,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.31,0.15999999999999995,0.23,,,40,6678,4200.0,,,,128.0,,,,128.0,32.0,128
156,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.16,0.30999999999999994,0.23,,,40,6292,3700.0,,,,128.0,,,,128.0,128.0,128
157,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.0,0.47,0.23,,,40,5906,4100.0,,,,128.0,,,,128.0,128.0,128
158,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.7,0.0,0.0,,,40,7625,5500.0,,,,128.0,,,,128.0,128.0,128
159,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.47,0.22999999999999998,0.0,,,40,7046,4000.0,,,,128.0,,,,128.0,64.0,128
160,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.23,0.47,0.0,,,40,6467,3300.0,,,,128.0,,,,128.0,32.0,128
161,AAPTAC,PEAm,NIPAm,HEAm,0.3,0.0,0.7,0.0,,,40,5887,2900.0,,,,128.0,,,,128.0,128.0,128
